"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.734007436166,183.174661765375,253.789889531095,167.090944864948,173.489677249461,188.90772682506,171.687146665662,198.9909638702,216.785555421436,169.46492016613,207.124490215329,230.510520514527,240.35812418709,211.728461702348,253.619058699691,230.168276399803,179.232648552637,167.737016080329,175.761692463166,194.870769703993,168.346552259545,253.337274251542,231.722124135461,192.859500323626,247.838114779873,237.944080126201,222.05035149267,206.144848649353,217.391281152809,173.338316917807,209.595486762519,238.956950940687,198.515024775285,216.511760464982,242.109865343039,170.90681204313,203.016248074849,230.73754697956,174.717795799454,189.213632960984,230.196300790863,208.16135264517,201.909244782453,230.863220405029,197.543217680895,220.633052253294,207.651885700935,228.158001748172,253.589443816848,189.763557101639,232.580254395318,166.134696572555,231.845450206656,233.932774749519,221.674393880038,167.959172242403,243.866306719077,197.758654836816,212.799797115702,212.828855192243,162.613363595925,193.533763566652,220.732603220568,188.996068264856,241.492956180413,174.700835900658,226.225908563472,241.448877728723,229.401949954217,214.68418961425,214.406177652356,190.85248276667,244.516168694526,239.517259444492,222.038248483008,213.509934120082,171.693293659562,189.569283990778,187.772031434233,213.657039311686,241.100455273726,240.427896670256,198.192737320157,211.363516649408,248.089822421187,255.33290602026,203.898040777954,225.648424564663,248.956369478523,191.471977252903,207.839469730607,162.408773129973,208.270629850004,251.07105758011,160.268467053576,183.42491580791,223.770399477181,249.989409591061,248.183420831271,202.017842790562
530.312515407337,387.002013200464,543.037298185308,352.806967108341,365.313975836097,398.893486349588,364.293474568118,422.616229170204,460.094951572409,359.245296368285,440.534926451491,492.111461771314,515.19529393123,450.999046822449,539.978831798896,490.498675138411,379.570669617989,353.114547452107,370.121401384637,415.207783878028,356.459722670566,539.853610421887,496.270966967103,409.089557179749,528.952875711548,508.821614711702,471.776369253605,436.982487451248,462.529285822913,365.818425325949,444.858859463376,508.048213080977,422.323622247867,461.351346148629,514.989076750337,359.962321565963,432.378376691565,493.828174017163,367.704498872961,401.966334445844,488.692096739342,444.435779565222,430.619543183627,493.879531968254,420.232114713689,469.383316603743,443.245779117861,485.80206974502,543.019076099252,401.474528545987,494.939757315839,350.456007096994,494.636434651203,500.324620349528,471.835628446374,353.692427862145,520.724859513829,421.477247756679,452.730847401978,451.869327634404,342.24333394008,410.535329409086,471.68132665144,401.44496026272,515.961324176822,370.404827679831,483.25543245428,517.045841521958,490.591878008475,456.841934176317,457.843043273164,403.032977076971,522.894055573936,511.28945897568,473.540646655714,454.608517372766,361.425539672554,403.833534366352,399.526341440092,453.629195412436,516.06256550444,514.523095335571,420.236922204272,448.260879192402,530.684045069626,543.856461795802,432.114551417386,480.818270377937,532.361864431128,407.15905082035,444.054809124204,342.508442221295,443.871996187434,535.783086768772,338.10989743143,389.085332314116,477.650403268877,533.416712086025,530.685879886002,427.829590047658
672.148568017892,490.793940971136,691.840940336137,449.637554113222,462.29867677166,504.467418886318,467.218792019804,538.026576626144,582.423278769022,460.43387971743,560.987239054576,627.239073121746,659.813876491599,575.079728482125,682.251726348167,623.35258595747,483.921616253105,447.68377686782,468.035732404934,532.07364560856,456.186499313233,683.133270634586,635.743649500362,520.659673132096,671.699123745914,649.387991183916,597.573721388824,553.494687593601,587.861821104127,464.703139688547,564.165430603949,642.0488190576,539.251718304693,587.958278341295,650.944093879738,456.160839398474,552.428650118245,632.026222320049,464.697833968951,513.459237783128,617.101354008138,569.417879717918,551.619867086198,631.612215019517,536.676971713105,596.042324916104,567.748446646766,616.762485318834,692.715946118111,509.232879456938,627.208473988541,446.114592008259,629.597304999963,639.206896661516,599.520763332728,448.60877559283,662.240948043889,539.9087633577,575.969843213922,572.912997958854,434.65124118415,522.427699308762,603.393286398406,512.702287369273,657.111595239704,473.920186345884,617.115994658694,661.012567218287,627.248734260555,581.154672241393,585.859737649414,509.463925936744,666.58784847215,650.439597540615,603.618357879927,579.039249747794,457.468116540013,518.153330101183,511.896642265552,575.032520127006,659.291745405156,657.192961638181,533.668459345993,567.488045870685,676.412478174723,687.444653919983,547.429528420201,611.521420856867,678.076280235156,520.571265208182,569.628764301836,436.496790990748,566.984842491897,679.850901048253,431.538172482701,496.692832933704,609.511964080273,676.847662584514,675.981476995946,541.639775183954
759.00816990978,555.235481630212,785.908105213016,511.832151361591,521.848337730247,568.777171035608,535.663346854095,611.160688809575,657.021886567713,527.510402122427,637.333172426178,713.083788162143,754.199899572097,654.300188406274,767.564366752865,706.260976547639,550.884500634622,506.525125202983,527.834002830096,609.057267408172,521.769808549011,769.922006112622,726.984849085259,591.321192420151,760.183839581131,739.316179957653,674.532132813027,624.939809015526,666.250834670553,526.885710038157,637.858412464872,722.639601943424,614.664857022703,668.471579812224,732.785726246676,515.79265740284,630.073043486816,721.96465118386,523.718492033793,585.657428550223,694.004665394975,651.485758310105,631.070603860625,720.858108026444,611.870897192441,674.788718317566,649.388019553166,697.999514806669,788.088335404556,576.110129036455,708.261057061299,507.145977506095,714.620447659598,728.638852710472,679.194685282502,507.818948994848,750.817851952175,617.724792939806,653.563596825898,647.521961977113,492.851302816362,593.223849407693,688.975515446741,584.674735681035,746.246245831478,541.7946477232,703.158112559573,754.011101668539,715.681079972224,659.366740503503,669.250525725887,574.0704104068,757.835859472158,737.735873270092,686.382353582964,657.935402422499,516.542717715687,594.065538418649,585.952264843928,649.762706092539,751.438618997991,748.877986563607,604.472109329921,640.294975469135,768.835118953437,773.777383346482,618.253427169617,693.521779095524,770.094080166924,594.370212608564,652.656745409974,496.933880527099,646.442096597502,768.69667660948,492.182688559771,566.203733032287,693.929812076765,765.311192589274,767.774327460979,611.262569976492
819.501458505924,600.804754366567,853.649573146659,557.379816756755,563.469593908512,613.334061523642,587.534117079904,663.979762197102,708.755070058083,578.188547876748,692.48026441197,775.225701118744,824.406425268534,711.949304256705,825.627936284007,765.178769372977,599.876041795886,548.235090677936,569.387885514909,666.85565126943,570.938711087125,829.650879014979,795.011659043433,642.327897813982,822.6124941037,804.879807986047,728.083652069574,674.785429981158,722.092215198379,571.451137619389,689.672598257116,777.677354031983,670.108745011013,726.82074073055,788.733854649271,557.893667079635,687.316732758541,788.674690759391,564.572654206152,638.959253426635,746.282490641204,712.908138735933,690.533669370755,786.770006208705,667.224357042622,730.532280299918,710.403673487728,755.369145908263,857.320097501745,623.37952463512,764.757391184108,551.540877675904,775.640106196803,794.273649494748,735.810370761549,549.902235698107,813.955297130744,676.00234406196,709.223669649504,699.860478563405,534.631570784139,644.274352291858,752.357134419633,637.752960563781,810.368334843857,592.530151660496,766.193503069575,822.47757317929,780.905183285752,715.42824502797,731.170052821488,618.662701503354,823.855961425532,800.109710670897,746.394595392598,714.940823251853,557.909741251718,651.510099351665,641.582097946918,702.112795976818,819.001550316719,816.027066495917,654.811915635738,690.864154209989,835.616012805323,832.70836230729,667.753933587161,752.120494094612,836.289786058872,649.1171792645,715.218828918754,541.245858079397,704.899665728928,831.036315087818,537.070730440075,617.397123237623,755.525479283749,827.393998505843,833.838325414495,659.715065635234
863.648136454775,634.642035656324,904.770471886629,592.390560473983,594.024492939054,645.738227035266,628.710300226316,704.008172905746,746.380716484977,618.304663986401,734.269768609856,822.384341031756,879.089079532738,755.946053816316,866.993349123679,809.083272993071,637.48938663612,579.295498794565,599.712892266997,712.3143282723,609.582724208705,872.701777324351,848.12391981166,680.969206266532,868.777627396026,854.973888727662,767.162146941442,711.272970565925,763.819256977953,604.994174183519,727.89698502328,817.047384782089,712.853213952293,771.166635291671,828.793859205454,589.115730928086,731.562221433801,840.503992310934,594.270647232102,680.228207042103,783.506817116573,761.063985832582,737.158688341199,837.770937071183,709.954155049866,771.921386427785,758.175110684967,797.857523926183,909.975111830066,658.456758319778,806.042921887621,585.445988712826,821.557516600703,844.748935308793,778.006087002233,581.321690027127,861.130483833006,721.728531851306,751.106856422669,738.378180332499,566.136440594355,682.90731225354,801.538590902859,678.804398779924,858.719172970983,632.287010277894,814.596787256725,875.280627713304,831.309940149338,757.581521816671,779.346310932032,650.963612785939,873.916603517285,846.829257767524,792.023436944956,758.141466219281,588.337129422537,697.031483320163,685.366280022539,740.585127887776,870.903727777929,867.556348836618,692.374861212057,727.70912769135,886.184626903936,874.819037334695,704.059405405221,796.035774518475,886.198180058033,691.697494883474,764.580401387506,575.348077253303,749.989868726405,876.875123578799,571.934381718743,656.946880532469,802.641286910945,873.056443757129,883.671139559174,695.096843287882
895.326891384637,659.478639879263,942.892626055925,619.107134712233,616.168046064147,668.951620888647,661.225740489168,734.054514227921,773.306399594024,649.890831117189,765.626854114937,857.799734367694,921.332416959481,789.215245136596,895.821305230843,841.384474643569,666.146138611551,602.180846827784,621.537053198096,747.841196056973,639.782905958521,903.133924552019,889.269405201861,709.968646922314,902.420943372044,892.870176987494,795.232582861635,737.593501275647,794.628773873865,630.002141963038,755.717310962852,844.640460926275,745.546799691738,804.539542728389,856.900226113235,612.008663916953,765.494072466138,880.444272445813,615.547303595876,711.949875286185,809.459148932894,798.560760021546,773.473482845378,876.900712261969,742.684300365374,802.256157730887,795.317201051266,828.900412809899,949.585821048788,684.179036717085,835.73538582371,611.13857659989,855.715410383854,883.212189679364,809.064672265991,604.538088643843,895.92855803748,757.371791473822,782.281463203175,766.32945616395,589.680210618907,711.864415099096,839.396811189077,710.320658214318,894.757744815777,663.25292848566,851.429103696319,915.63468219154,869.929805635971,788.929256715177,816.547045696268,673.992304343224,911.460980621906,881.392130077275,826.372746113983,790.552015132026,610.439178998608,732.897073070973,719.618020679881,768.458285556176,910.399633058493,906.723318490336,720.083612817739,754.138342378292,924.046312355539,904.272981046855,730.31181012919,828.559356242753,923.383223670652,724.585041044621,803.276134077559,601.408804663998,784.488174540809,910.056647179929,598.844648592139,687.279949530877,838.34489696832,906.1237826188,920.820947131899,720.551483273045
916.363319474326,676.571941663886,969.653114721928,638.506983833968,631.136801080642,684.367154150445,685.887606148629,755.375924611969,791.137206352857,673.76245764106,787.861406704615,882.920425351175,952.437251412363,813.050182905871,914.107638719879,863.649063700667,686.904077821644,618.025387883919,636.138129673628,774.423730763533,662.394976599701,922.878531836974,919.683122216816,730.545815257264,925.281031608399,920.01298358126,813.922492825146,755.240670901522,815.983549539269,647.599367942166,774.613077194303,862.315118934688,769.336791442318,828.29023638402,874.931303677043,627.747603945076,790.268236167298,909.766511153751,629.687620783589,735.189628808337,825.950622564043,826.477688568638,800.524271178225,905.463918931724,766.547744940076,823.059146348842,822.91731958055,850.087551216237,977.72795567401,701.853723335386,855.532898922687,629.623732140392,879.62853338275,911.034090452613,830.493721300288,620.676142562261,919.991398348706,783.951998865022,804.137538031408,785.230048488931,606.306126706576,732.375889370924,867.158444863964,733.373002119979,920.047370427489,686.336054385959,878.027718352005,944.930422421086,898.071397286475,810.878428195853,843.943435716007,689.173586794035,938.030839534924,905.394833740591,850.824848703284,813.52293988605,625.431063764236,760.011910774997,745.283521706976,787.261122582031,938.909799583123,934.953103481291,739.277067036251,771.706971619427,950.776660802546,923.063795649186,747.978282145606,851.191824982771,949.458054805032,748.828053008518,832.333148324238,620.370617330248,809.594929443599,932.37831844047,618.68228736954,709.442070585279,863.987153683704,928.383638121749,946.892421491761,737.553391003646
927.894598262002,686.689400614753,986.052906928478,651.166148986297,639.688192719843,692.843706220941,703.136480891341,768.730174757412,800.868216388446,690.369078424486,801.764444517656,898.624445356405,973.163045491981,828.226518792494,923.103189855188,876.840573948762,700.388737100922,627.518049821682,644.300892744588,792.62033045377,677.900829163588,933.143554019229,940.081284917596,743.435240243619,938.434604454337,937.272165189543,824.240631952068,765.136749855298,828.779399992412,658.464331157484,785.495253382641,871.23268404882,784.900576496143,843.233850348227,884.061149995736,637.048888958798,806.564915066302,929.215477771341,637.48148140177,750.570238299969,834.112124563289,845.431238566113,818.907879409358,924.230384464925,782.211528909859,835.267077057521,841.599165282237,862.399176343012,995.35790801491,712.279961780768,866.489676661632,641.498677885551,894.222001669612,929.032313679023,843.218906423967,630.418213469342,934.329485962906,802.049750326612,817.5212458519,796.015063099372,616.641827005091,745.183842098702,885.542792124404,748.589351156007,935.543419051213,702.052835155597,895.19071119843,963.995029681125,916.507471595169,824.286058326524,862.217095321962,697.387471706644,954.563848583449,919.817771044748,866.214106359519,827.871167548258,634.05630183235,778.874806975497,762.895523326812,797.937176604175,957.284075046249,953.099471834875,750.772946484342,781.377345116686,967.335174160738,932.441021333301,757.963125207418,864.851697456788,965.408878778378,765.034321397082,852.327751202816,632.787584739493,826.019067917521,944.957028040179,631.956175723772,724.046239966703,880.378047908964,940.945861543213,962.865962091959,747.013014995147
